17n3,539881.656,6307407.413,24.471,,
17n4,539881.766,6307407.642,24.247,,
17n5,539881.678,6307408.469,23.749,,
17n6,539881.536,6307409.014,23.674,,
17n7,539881.343,6307409.517,23.675,,
17n8,539881.181,6307410.145,23.657,,
17n9,539880.984,6307411.060,23.664,,
17n10,539880.797,6307411.860,23.711,,
17n11,539880.702,6307412.372,23.826,,
17n12,539880.348,6307412.857,24.242,,
17n13,539879.915,6307414.122,24.546,,
18n1,539925.433,6307416.524,24.616,,
18n2,539926.581,6307415.688,24.322,,
18n3,539926.586,6307415.694,24.324,,
18n4,539927.157,6307415.344,24.201,,
18n5,539927.696,6307415.027,23.665,,
18n6,539928.001,6307414.803,23.614,,
18n7,539928.663,6307414.371,23.654,,
18n8,539929.264,6307413.991,23.715,,
18n9,539929.902,6307413.644,23.865,,
18n10,539930.314,6307413.384,24.017,,
18n11,539930.780,6307413.260,23.989,,
18n12,539931.056,6307412.979,24.216,,
18n13,539933.954,6307411.715,24.900,,
19n1,539974.006,6307396.197,24.883,,
19n2,539974.510,6307398.534,24.560,,
19n3,539974.549,6307398.902,24.374,,
19n4,539974.573,6307398.939,24.183,,
19n5,539974.752,6307399.164,23.915,,
